step_i,time_ms,volume_mL
342,344.671875,19.607753
343,345.679688,19.649821
344,346.687500,19.692385
345,347.695312,19.735435
346,348.703125,19.778959
347,349.710938,19.822947
348,350.718750,19.867386
349,351.726562,19.912264
350,352.734375,19.957570
351,353.742188,20.003291
352,354.750000,20.049413
353,355.757812,20.095923
354,356.765625,20.142809
355,357.773438,20.190055
356,358.781250,20.237647
357,359.789062,20.285571
358,360.796875,20.333811
359,361.804688,20.382352
360,362.812500,20.431178
361,363.820312,20.480272
362,364.828125,20.529619
363,365.835938,20.579200
364,366.843750,20.629000
365,367.851562,20.678999
366,368.859375,20.729180
367,369.867188,20.779524
368,370.875000,20.830013
369,371.882812,20.880627
370,372.890625,20.931347
371,373.898438,20.982154
372,374.906250,21.033028
373,375.914062,21.083948
374,376.921875,21.134894
375,377.929688,21.185844
376,378.937500,21.236779
377,379.945312,21.287678
378,380.953125,21.338518
379,381.960938,21.389279
380,382.968750,21.439939
381,383.976562,21.490476
382,384.984375,21.540869
383,385.992188,21.591097
384,387.000000,21.641137
385,388.007812,21.691487
386,389.015625,21.742652
387,390.023438,21.794619
388,391.031250,21.847376
389,392.039062,21.900911
390,393.046875,21.955213
391,394.054688,22.010267
392,395.062500,22.066062
393,396.070312,22.122584
394,397.078125,22.179821
395,398.085938,22.237758
396,399.093750,22.296382
397,400.101562,22.355679
398,401.109375,22.415635
399,402.117188,22.476234
400,403.125000,22.537462
401,404.132812,22.599303
402,405.140625,22.661742
403,406.148438,22.724762
404,407.156250,22.788346
405,408.164062,22.852479
406,409.171875,22.917142
407,410.179688,22.982318
408,411.187500,23.047988
409,412.195312,23.114135
410,413.203125,23.180738
411,414.210938,23.247778
412,415.218750,23.315237
413,416.226562,23.383092
414,417.234375,23.451324
415,418.242188,23.519910
416,419.250000,23.588831
417,420.257812,23.658062
418,421.265625,23.727583
419,422.273438,23.797369
420,423.281250,23.867397
421,424.289062,23.937645
422,425.296875,24.008086
423,426.304688,24.078697
424,427.312500,24.149453
425,428.320312,24.220328
426,429.328125,24.291297
427,430.335938,24.362333
428,431.343750,24.433409
429,432.351562,24.504500
430,433.359375,24.575577
431,434.367188,24.646614
432,435.375000,24.717582
433,436.382812,24.789625
434,437.390625,24.863851
435,438.398438,24.940174
436,439.406250,25.018510
437,440.414062,25.098774
438,441.421875,25.180880
439,442.429688,25.264742
440,443.437500,25.350272
441,444.445312,25.437384
442,445.453125,25.525987
443,446.460938,25.615993
444,447.468750,25.707311
445,448.476562,25.799850
446,449.484375,25.893516
447,450.492188,25.988218
448,451.500000,26.083859
449,452.507812,26.180345
450,453.515625,26.277578
451,454.523438,26.375462
452,455.531250,26.473897
453,456.539062,26.572782
454,457.546875,26.672016
455,458.554688,26.771498
456,459.562500,26.871123
457,460.570312,26.970786
458,461.578125,27.070381
459,462.585938,27.169801
460,463.593750,27.268938
461,464.601562,27.367682
462,465.609375,27.465921
463,466.617188,27.563546
464,467.625000,27.660441
465,468.632812,27.756494
